Time,Centralized,Distributed,HandoverMeas,HandoverNoMeas,AvgTargets
0,70.71067811865485,70.71067811865485,70.71067811865485,70.71067811865485,1.0
1,69.32236113963238,70.01479539148465,69.32172058501376,70.01120773080028,1.0
2,10.147072912098428,10.841223773219673,12.208116100609132,10.144294080462588,1.0
3,1.6618729915188566,1.6477438955499644,0.9652782385402956,1.6668916121988326,1.0
4,1.558213972250031,1.5499800261223866,1.6009752628548963,1.570005029609619,1.0
5,0.827871035278614,0.8339234033748129,0.8593944862315033,0.838228965195525,1.0
6,0.7852494338545094,1.4959319398888915,2.2641256426067256,2.18565930810248,1.0
7,0.6933300387717157,0.7073071685548474,0.7619125127075281,0.6975002989619182,1.0
8,0.7089528132414461,0.7162318505505334,0.7936916626817991,0.714811837336695,1.0
9,0.679666918984747,0.6829159030341585,0.8709073938265403,0.6840179312226253,1.0
10,0.6849252908486976,0.6864364682203042,0.9427558968361649,0.6835924703529469,1.0
11,0.7045919644897733,0.7088875372620399,0.9742219117945328,0.7065061768652509,1.0
12,0.6795378813653198,0.6802766976731442,1.0638232735385986,0.6828872181204959,1.0
13,0.6449278872135129,0.6392659004023693,1.7895939275497204,0.6436820763130956,1.0
14,0.7010100997289536,0.6942588871831533,1.9173777051483345,0.6996359190374676,1.0
15,0.6793034611522359,0.675672003568032,3.3102656150795737,0.6768831512906519,1.0
16,2.072643649260167,0.6785748623178164,6.784887554684172,1.372951846967097,1.0
17,0.6178094137014017,0.6156205708985858,4.780748788705902,0.6131311109106696,1.0
18,0.6512902682815985,0.6489487720699283,4.7659413901284235,0.6442564957096605,1.0
19,0.6338959426415574,0.6295502845567472,2.7773777096534102,0.6312501990031509,1.0
20,0.6290026708218198,0.6261373102369657,2.753987122172836,0.6288236830911348,1.0
21,0.6333504995506631,0.6319267762701009,4.83099314337075,0.6321566137268971,1.0
22,0.6741407984963559,1.375999692018608,3.39864910565265,1.3740930857150755,1.01
23,0.629260412970447,0.6289908969550484,4.7342808800523155,0.6253754996103796,1.01
