Time,Centralized_gospa,Centralized_localization,Centralized_miss_truth,Centralized_false_tracks,Distributed_gospa,Distributed_localization,Distributed_miss_truth,Distributed_false_tracks,HandoverMeas_gospa,HandoverMeas_localization,HandoverMeas_miss_truth,HandoverMeas_false_tracks,HandoverNoMeas_gospa,HandoverNoMeas_localization,HandoverNoMeas_miss_truth,HandoverNoMeas_false_tracks,AvgTargets
0,70.71067811865485,0.0,70.71067811865485,0.0,70.71067811865485,0.0,70.71067811865485,0.0,70.71067811865485,0.0,70.71067811865485,0.0,70.71067811865485,0.0,70.71067811865485,0.0,1.0
1,69.32236113963238,0.025896583350629044,69.29646455628175,0.0,70.01479539148465,0.011224054016343592,70.0035713374683,0.0,69.32172058501376,0.025256028732009373,69.29646455628175,0.0,70.01120773080028,0.007636393331982326,70.0035713374683,0.0,1.0
2,10.147072912098428,0.9546847566733073,9.192388155425117,0.0,10.841223773219673,0.9417288366080057,9.899494936611665,0.0,12.208116100609132,0.8944076016243667,11.313708498984761,0.0,10.144294080462588,0.9519059250374703,9.192388155425117,0.0,1.0
3,1.6618729915188566,0.9547662103323096,0.7071067811865476,0.0,1.6477438955499644,0.9406371143634179,0.7071067811865476,0.0,0.9652782385402956,0.9652782385402956,0.0,0.0,1.6668916121988326,0.9597848310122835,0.7071067811865476,0.0,1.0
4,1.558213972250031,0.8623862789949137,0.0,0.7071067811865476,1.5499800261223866,0.8477230677231788,0.0,0.7071067811865476,1.6009752628548963,0.8975861045849837,0.0,0.7071067811865476,1.570005029609619,0.8670001358246426,0.0,0.7071067811865476,1.0
5,0.827871035278614,0.827871035278614,0.0,0.0,0.8339234033748129,0.8339234033748129,0.0,0.0,0.8593944862315033,0.8593944862315033,0.0,0.0,0.838228965195525,0.838228965195525,0.0,0.0,1.0
6,0.7852494338545094,0.7852494338545094,0.0,0.0,1.4959319398888915,0.7973348368530878,0.0,0.7071067811865476,2.2641256426067256,0.8594765680139766,0.0,1.4142135623730951,2.18565930810248,0.7823738314288013,0.0,1.4142135623730951,1.0
7,0.6933300387717157,0.6933300387717157,0.0,0.0,0.7073071685548474,0.7073071685548474,0.0,0.0,0.7619125127075281,0.7619125127075281,0.0,0.0,0.6975002989619182,0.6975002989619182,0.0,0.0,1.0
8,0.7089528132414461,0.7089528132414461,0.0,0.0,0.7162318505505334,0.7162318505505334,0.0,0.0,0.7936916626817991,0.7936916626817991,0.0,0.0,0.714811837336695,0.714811837336695,0.0,0.0,1.0
9,0.679666918984747,0.679666918984747,0.0,0.0,0.6829159030341585,0.6829159030341585,0.0,0.0,0.8709073938265403,0.8709073938265403,0.0,0.0,0.6840179312226253,0.6840179312226253,0.0,0.0,1.0
10,0.6849252908486976,0.6849252908486976,0.0,0.0,0.6864364682203042,0.6864364682203042,0.0,0.0,0.9427558968361649,0.9427558968361649,0.0,0.0,0.6835924703529469,0.6835924703529469,0.0,0.0,1.0
11,0.7045919644897733,0.7045919644897733,0.0,0.0,0.7088875372620399,0.7088875372620399,0.0,0.0,0.9742219117945328,0.9742219117945328,0.0,0.0,0.7065061768652509,0.7065061768652509,0.0,0.0,1.0
12,0.6795378813653198,0.6795378813653198,0.0,0.0,0.6802766976731442,0.6802766976731442,0.0,0.0,1.0638232735385986,1.0638232735385986,0.0,0.0,0.6828872181204959,0.6828872181204959,0.0,0.0,1.0
13,0.6449278872135129,0.6449278872135129,0.0,0.0,0.6392659004023693,0.6392659004023693,0.0,0.0,1.7895939275497204,1.0824871463631736,0.7071067811865476,0.0,0.6436820763130956,0.6436820763130956,0.0,0.0,1.0
14,0.7010100997289536,0.7010100997289536,0.0,0.0,0.6942588871831533,0.6942588871831533,0.0,0.0,1.9173777051483345,1.2102709239617873,0.7071067811865476,0.0,0.6996359190374676,0.6996359190374676,0.0,0.0,1.0
15,0.6793034611522359,0.6793034611522359,0.0,0.0,0.675672003568032,0.675672003568032,0.0,0.0,3.3102656150795737,1.1889452715199293,2.121320343559643,0.0,0.6768831512906519,0.6768831512906519,0.0,0.0,1.0
16,2.072643649260167,0.6768441367595276,0.0,1.4142135623730951,0.6785748623178164,0.6785748623178164,0.0,0.0,6.784887554684172,1.163384526131816,4.242640687119286,1.4142135623730951,1.372951846967097,0.6734059057542757,0.0,0.7071067811865476,1.0
17,0.6178094137014017,0.6178094137014017,0.0,0.0,0.6156205708985858,0.6156205708985858,0.0,0.0,4.780748788705902,1.248757923881816,2.8284271247461903,0.7071067811865476,0.6131311109106696,0.6131311109106696,0.0,0.0,1.0
18,0.6512902682815985,0.6512902682815985,0.0,0.0,0.6489487720699283,0.6489487720699283,0.0,0.0,4.7659413901284235,1.2304074841956862,3.5355339059327378,0.0,0.6442564957096605,0.6442564957096605,0.0,0.0,1.0
19,0.6338959426415574,0.6338959426415574,0.0,0.0,0.6295502845567472,0.6295502845567472,0.0,0.0,2.7773777096534102,1.3763699113380363,0.7071067811865476,0.7071067811865476,0.6312501990031509,0.6312501990031509,0.0,0.0,1.0
