Time,Centralized,Distributed,HandoverMeas,HandoverNoMeas,AvgTargets
0,0.0,0.0,0.0,0.0,1.0
1,0.07917100087908747,0.040779862079713396,0.056965351162393964,0.09207445948431163,1.0
2,1.1325331215728234,1.1146769158444039,1.1560005513369027,1.1821442775518378,1.0
3,1.3613291407729171,1.4127901428089087,1.3776697050705646,1.384650796992395,1.0
4,1.2585552267069802,1.3042458826126495,1.331437578977352,1.3169944600044377,1.0
5,1.1654124788103895,1.1795290789594608,1.3199322869632335,1.1279660393655528,1.0
6,1.0870115039222656,1.0997076789421854,1.3666888802592974,1.0883749810139918,1.0
7,0.9465318154748698,0.9318600617731825,1.3817274722564026,0.9598719476245531,1.0
8,0.8414951300011592,0.8199468840860338,1.4816491084254044,0.8294433128450948,1.0
9,0.7959236650954746,0.7941256115769022,1.7022107229259686,0.79821228431352,1.0
10,0.817690550499093,0.8201711764490766,1.8207840358454168,0.8228075395463104,1.0
11,0.8421460036446091,0.8452863820469065,1.9766204841684163,0.842057727708641,1.0
12,0.8654800464274799,0.8557443280115676,1.93499587029925,0.8595385439578969,1.0
13,0.8964853926216297,0.8819845230303847,1.6180161022575157,0.8925625343683831,1.0
14,0.8170123179236544,0.8095082311875198,1.568502135813655,0.8129602703088584,1.0
15,0.6656945908860226,0.6697483966743956,1.6949914359798957,0.6664930088500453,1.0
16,0.6824141758244516,0.6818489689290399,1.5880811744144794,0.6818860270992743,1.0
17,0.7160984078116609,0.7184310007237087,1.6310911093471856,0.7194887025452918,1.0
18,0.7255595907218815,0.7230549151342472,1.5798011775745686,0.7265201281031437,1.0
19,0.7029791889243248,0.700459156407681,1.4621300787471656,0.7032355036983925,1.0
20,0.6600848083569111,0.6534866120360486,1.4089048572946516,0.6557747674145924,1.0
21,0.6825948312667839,0.6800400658702475,1.3790453234899454,0.6778391394834096,1.0
22,0.5904698622209488,0.5935451064266292,1.2307737165623087,0.5930187791863744,1.01
23,0.6383289035254307,0.6307849708979636,1.2895500569766387,0.6359119331464089,1.01
24,0.6249439341423312,0.6279350678094247,1.2679963535353047,0.6216632468907752,1.02
25,0.5999596902997847,0.5902835626049232,1.2498377387751116,0.6204177501631706,1.07
26,0.631084877431373,0.6444179009400495,1.3104563917443417,0.6822515800871564,1.13
27,0.6732439331118522,0.6919001400865745,1.3240358209387337,0.7496834937328484,1.26
28,0.7189326318138023,0.7841471132964446,1.5104996515350322,0.8455707740376789,1.4
29,0.7754119170849505,1.0240087497435475,1.5746837712655963,0.9504658399513071,1.45
30,0.7428742087919956,0.9403107472725933,1.590471314671621,0.895003657837252,1.62
31,0.8305927364631307,1.0299705401761912,1.5493384311201348,1.0355612074069456,1.8
32,0.8537014587275391,1.2475034369457263,1.7168144651651174,1.2072937643569626,1.89
33,0.9374182789032512,1.4253139065114906,1.9082570753479835,1.3511551364555316,1.96
34,0.9045607436002794,1.3749207283120402,2.0414679283282315,1.30313883176561,2.0
35,0.9217805169238489,1.5207976368689367,2.038444847908828,1.364484757235042,2.0
36,0.8856071733828793,1.5901217628548026,1.7862684102058517,1.4047999151966837,2.0
37,0.9356359106581223,1.462315442689391,2.549403893053777,1.3458084619722137,2.0
38,0.9317935844174179,1.4078082831706025,1.9512422363982074,1.3351739678137817,2.0
39,0.9062525280425275,1.3445093523693528,2.0303424176871148,1.2853725080291827,2.0
40,0.933412993391036,1.2759819739672087,2.4152558797080688,1.2388538251757915,2.0
41,0.9999087009201655,1.3077466494684602,2.9791891185983363,1.2823584045005214,2.0
