Time,Centralized,Distributed,HandoverMeas,HandoverNoMeas,AvgTargets
0,70.71067811865485,70.71067811865485,70.71067811865485,70.71067811865485,1.0
1,67.88225099390866,69.29646455628175,68.58935777509521,67.1751442127221,1.0
2,17.6776695296637,18.38477631085025,16.97056274847715,16.2634559672906,1.0
3,0.7071067811865476,0.0,2.121320343559643,1.4142135623730951,1.0
4,0.0,0.0,0.7071067811865476,0.7071067811865476,1.0
5,0.0,0.0,0.0,0.7071067811865476,1.0
6,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.7071067811865476,0.0,1.0
8,0.0,0.0,0.7071067811865476,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,1.4142135623730951,0.0,1.0
11,0.0,0.0,0.7071067811865476,0.0,1.0
12,0.0,0.0,2.121320343559643,0.0,1.0
13,0.0,0.0,7.0710678118654755,0.0,1.0
14,0.0,0.0,2.8284271247461903,0.0,1.0
15,0.0,0.0,0.7071067811865476,0.0,1.0
16,0.0,0.0,2.8284271247461903,0.0,1.0
17,0.0,0.0,0.7071067811865476,0.0,1.0
18,0.0,0.0,2.8284271247461903,0.0,1.0
19,0.0,0.0,4.949747468305833,0.0,1.0
20,0.0,0.0,5.656854249492381,0.0,1.0
21,0.0,0.0,2.8284271247461903,0.0,1.0
22,0.0,0.7071067811865476,6.363961030678928,0.0,1.01
23,0.0,0.7071067811865476,7.0710678118654755,0.0,1.01
24,0.0,0.7071067811865476,7.778174593052023,0.7071067811865476,1.02
25,0.7071067811865476,4.242640687119286,9.192388155425117,0.7071067811865476,1.07
26,0.0,6.363961030678928,11.313708498984761,0.7071067811865476,1.13
27,0.0,13.435028842544407,13.606601717798217,1.4142135623730951,1.26
28,2.8284271247461903,17.6776695296637,11.19238815542512,2.8284271247461903,1.4
29,0.0,11.313708498984761,13.727922061357859,0.7071067811865476,1.45
30,1.4142135623730951,16.97056274847715,19.38477631085025,2.121320343559643,1.62
31,1.4142135623730951,23.33452377915609,25.21320343559644,2.8284271247461903,1.8
32,0.0,17.6776695296637,25.455844122715735,0.0,1.89
33,0.0,11.313708498984761,23.33452377915609,0.0,1.96
34,0.0,8.485281374238571,20.091883092036795,0.0,2.0
35,0.0,2.121320343559643,18.6776695296637,0.0,2.0
36,0.0,0.0,22.677669529663707,0.0,2.0
37,0.0,0.0,20.6776695296637,0.0,2.0
38,0.0,0.0,22.091883092036802,0.0,2.0
39,0.0,0.0,18.38477631085025,0.0,2.0
40,0.0,0.0,21.506096654409895,0.0,2.0
41,0.0,0.0,14.849242404917504,0.0,2.0
42,0.0,0.0,19.798989873223345,0.0,2.0
43,0.0,0.0,17.556349186104057,0.0,2.0
